% Model:              nanorod_3d_placa.mph
% Version:            COMSOL 5.2.0.166
% Date:               Oct 7 2019, 14:47
% Dimension:          3
% Nodes:              1147
% Expressions:        3
% Description:        Arrow volume
% X                       Y                        Z                        VectorX                  VectorY                  VectorZ
-4.999999999999998E-5     -1.5E-4                  0                        0                        0                        0
2.710505431213761E-20     -1.5E-4                  0                        0                        0                        0
5.000000000000002E-5      -1.5E-4                  0                        0                        0                        0
-9.999999999999999E-5     -9.999999999999999E-5    0                        0                        0                        0
-4.999999999999998E-5     -9.999999999999999E-5    0                        0                        0                        0
2.710505431213761E-20     -9.999999999999999E-5    0                        0                        0                        0
5.000000000000002E-5      -9.999999999999999E-5    0                        0                        0                        0
1.0000000000000002E-4     -9.999999999999999E-5    0                        0                        0                        0
-1.5E-4                   -4.999999999999998E-5    0                        0                        0                        0
-9.999999999999999E-5     -4.999999999999998E-5    0                        0                        0                        0
-4.999999999999998E-5     -4.999999999999998E-5    0                        0                        0                        0
2.710505431213761E-20     -4.999999999999998E-5    0                        0                        -1.5647520901859524E-21  -1.519367288199883E-21
5.000000000000002E-5      -4.999999999999998E-5    0                        0                        0                        0
1.0000000000000002E-4     -4.999999999999998E-5    0                        0                        1.1012742116949323E-21   -1.1116932644519918E-22
1.5000000000000004E-4     -4.999999999999998E-5    0                        0                        0                        0
-1.5E-4                   2.710505431213761E-20    0                        0                        0                        0
-9.999999999999999E-5     2.710505431213761E-20    0                        0                        0                        0
-4.999999999999998E-5     2.710505431213761E-20    0                        0                        0                        0
2.710505431213761E-20     2.710505431213761E-20    0                        0                        0                        0
5.000000000000002E-5      2.710505431213761E-20    0                        0                        -1.4220022009318584E-22  -2.871616630651471E-23
1.0000000000000002E-4     2.710505431213761E-20    0                        0                        0                        0
1.5000000000000004E-4     2.710505431213761E-20    0                        0                        0                        0
-1.5E-4                   5.000000000000002E-5     0                        0                        0                        0
-9.999999999999999E-5     5.000000000000002E-5     0                        0                        0                        0
-4.999999999999998E-5     5.000000000000002E-5     0                        0                        0                        0
2.710505431213761E-20     5.000000000000002E-5     0                        0                        0                        0
5.000000000000002E-5      5.000000000000002E-5     0                        0                        0                        0
1.0000000000000002E-4     5.000000000000002E-5     0                        0                        0                        0
1.5000000000000004E-4     5.000000000000002E-5     0                        0                        0                        0
-9.999999999999999E-5     1.0000000000000002E-4    0                        0                        0                        0
-4.999999999999998E-5     1.0000000000000002E-4    0                        0                        0                        0
2.710505431213761E-20     1.0000000000000002E-4    0                        0                        0                        0
5.000000000000002E-5      1.0000000000000002E-4    0                        0                        0                        0
1.0000000000000002E-4     1.0000000000000002E-4    0                        0                        0                        0
-4.999999999999998E-5     1.5000000000000004E-4    0                        0                        0                        0
2.710505431213761E-20     1.5000000000000004E-4    0                        0                        0                        0
5.000000000000002E-5      1.5000000000000004E-4    0                        0                        0                        0
-4.999999999999998E-5     -1.5E-4                  5.0E-5                   0                        -5.677017445480768E-6    -5.149354080322605E-6
2.710505431213761E-20     -1.5E-4                  5.0E-5                   0                        -5.300323009853674E-6    -5.203629123262323E-6
5.000000000000002E-5      -1.5E-4                  5.0E-5                   0                        -5.6740915032955194E-6   -5.537480636580287E-6
-9.999999999999999E-5     -9.999999999999999E-5    5.0E-5                   0                        -5.29721592501246E-7     -3.1124321061392724E-6
-4.999999999999998E-5     -9.999999999999999E-5    5.0E-5                   0                        -3.048851613020995E-7    -2.2847664819266837E-6
2.710505431213761E-20     -9.999999999999999E-5    5.0E-5                   0                        -1.0412506348908204E-7   -2.086889619845148E-6
5.000000000000002E-5      -9.999999999999999E-5    5.0E-5                   0                        -1.6481335653221735E-7   -1.989734815455996E-6
1.0000000000000002E-4     -9.999999999999999E-5    5.0E-5                   0                        -4.789904226280022E-7    -2.1116893271647847E-6
-1.5E-4                   -4.999999999999998E-5    5.0E-5                   0                        1.6955134565762812E-6    -1.2554801682343598E-6
-9.999999999999999E-5     -4.999999999999998E-5    5.0E-5                   0                        2.2605788450111574E-6    -8.620625302369075E-7
-4.999999999999998E-5     -4.999999999999998E-5    5.0E-5                   0                        2.554558423531466E-6     -9.47828412612963E-7
2.710505431213761E-20     -4.999999999999998E-5    5.0E-5                   0                        2.5957964966601065E-6    -9.543912820604869E-7
5.000000000000002E-5      -4.999999999999998E-5    5.0E-5                   0                        2.4345913492470687E-6    -9.927971882741166E-7
1.0000000000000002E-4     -4.999999999999998E-5    5.0E-5                   0                        2.272045666734483E-6     -9.772456904816912E-7
1.5000000000000004E-4     -4.999999999999998E-5    5.0E-5                   0                        1.956886528193439E-6     -8.803517486637802E-7
-1.5E-4                   2.710505431213761E-20    5.0E-5                   0                        2.217187794939324E-6     2.9586361873148045E-7
-9.999999999999999E-5     2.710505431213761E-20    5.0E-5                   0                        2.6420388714366975E-6    1.2919146706017672E-7
-4.999999999999998E-5     2.710505431213761E-20    5.0E-5                   0                        2.8340767654041842E-6    3.345993532187502E-7
2.710505431213761E-20     2.710505431213761E-20    5.0E-5                   0                        2.8449418031809205E-6    2.8684849282884444E-7
5.000000000000002E-5      2.710505431213761E-20    5.0E-5                   0                        2.7582705626425296E-6    2.4503176855281767E-7
1.0000000000000002E-4     2.710505431213761E-20    5.0E-5                   0                        2.6480013990895576E-6    5.337423359722779E-7
1.5000000000000004E-4     2.710505431213761E-20    5.0E-5                   0                        2.3041527711083937E-6    3.423205372332938E-7
-1.5E-4                   5.000000000000002E-5     5.0E-5                   0                        6.865349068440467E-7     1.6556409739974122E-6
-9.999999999999999E-5     5.000000000000002E-5     5.0E-5                   0                        1.2721474093379149E-6    1.5207061699278517E-6
-4.999999999999998E-5     5.000000000000002E-5     5.0E-5                   0                        1.4848346713820574E-6    1.4375241743662922E-6
2.710505431213761E-20     5.000000000000002E-5     5.0E-5                   0                        1.5739037187562755E-6    1.3977672861073929E-6
5.000000000000002E-5      5.000000000000002E-5     5.0E-5                   0                        1.4636286707662591E-6    1.4880558879803597E-6
1.0000000000000002E-4     5.000000000000002E-5     5.0E-5                   0                        1.09578717520011E-6      1.474611707404036E-6
1.5000000000000004E-4     5.000000000000002E-5     5.0E-5                   0                        5.610161727082801E-7     1.929458651947062E-6
-9.999999999999999E-5     1.0000000000000002E-4    5.0E-5                   0                        -2.3027208267892356E-6   2.5007688113435298E-6
-4.999999999999998E-5     1.0000000000000002E-4    5.0E-5                   0                        -1.863792110961626E-6    2.4634917998628333E-6
2.710505431213761E-20     1.0000000000000002E-4    5.0E-5                   0                        -1.7516142963155537E-6   2.466715081184563E-6
5.000000000000002E-5      1.0000000000000002E-4    5.0E-5                   0                        -2.0298972895270434E-6   2.589626961212998E-6
1.0000000000000002E-4     1.0000000000000002E-4    5.0E-5                   0                        -2.2601000895023024E-6   3.3615828171167867E-6
-4.999999999999998E-5     1.5000000000000004E-4    5.0E-5                   0                        -7.007834967161564E-6    5.189708178816122E-6
2.710505431213761E-20     1.5000000000000004E-4    5.0E-5                   0                        -6.759085899950026E-6    4.560772326308496E-6
5.000000000000002E-5      1.5000000000000004E-4    5.0E-5                   0                        -7.154350852440333E-6    4.766925724466803E-6
-4.999999999999998E-5     -1.5E-4                  1.0E-4                   0                        -1.0797573029258789E-5   -1.2941792838253439E-5
2.710505431213761E-20     -1.5E-4                  1.0E-4                   0                        -1.086396380212389E-5    -1.2976890231257437E-5
5.000000000000002E-5      -1.5E-4                  1.0E-4                   0                        -1.0784170701296868E-5   -1.3235216200575757E-5
-9.999999999999999E-5     -9.999999999999999E-5    1.0E-4                   0                        -3.783954861811625E-6    -7.881670316241662E-6
-4.999999999999998E-5     -9.999999999999999E-5    1.0E-4                   0                        -3.0606419553670963E-6   -7.46150863345262E-6
2.710505431213761E-20     -9.999999999999999E-5    1.0E-4                   0                        -3.035747013406282E-6    -7.2975796400069246E-6
5.000000000000002E-5      -9.999999999999999E-5    1.0E-4                   0                        -3.2286876595297483E-6   -7.205895902502867E-6
1.0000000000000002E-4     -9.999999999999999E-5    1.0E-4                   0                        -3.6856732651242136E-6   -7.3112010066241346E-6
-1.5E-4                   -4.999999999999998E-5    1.0E-4                   0                        -5.477309182856064E-7    -3.2458562089981907E-6
-9.999999999999999E-5     -4.999999999999998E-5    1.0E-4                   0                        4.152286775046467E-8     -3.02223319807067E-6
-4.999999999999998E-5     -4.999999999999998E-5    1.0E-4                   0                        5.553228355622797E-7     -2.776683301826943E-6
2.710505431213761E-20     -4.999999999999998E-5    1.0E-4                   0                        6.837917689859714E-7     -2.7489411181784617E-6
5.000000000000002E-5      -4.999999999999998E-5    1.0E-4                   0                        3.8072845195266763E-7    -2.7197520891691274E-6
1.0000000000000002E-4     -4.999999999999998E-5    1.0E-4                   0                        -9.561308512481696E-8    -2.8227814792324213E-6
1.5000000000000004E-4     -4.999999999999998E-5    1.0E-4                   0                        -5.788822842427032E-7    -2.909627793199636E-6
-1.5E-4                   2.710505431213761E-20    1.0E-4                   0                        -1.3478139661388062E-7   9.92422240899851E-7
-9.999999999999999E-5     2.710505431213761E-20    1.0E-4                   0                        5.341558819393844E-7     1.0871591739755054E-6
-4.999999999999998E-5     2.710505431213761E-20    1.0E-4                   0                        9.574867304534052E-7     1.2079071435341005E-6
2.710505431213761E-20     2.710505431213761E-20    1.0E-4                   0                        1.0274685859286407E-6    1.1389360470472363E-6
5.000000000000002E-5      2.710505431213761E-20    1.0E-4                   0                        7.488941568373824E-7     9.060841608011617E-7
1.0000000000000002E-4     2.710505431213761E-20    1.0E-4                   0                        4.0101959098434823E-7    1.0920017130717524E-6
1.5000000000000004E-4     2.710505431213761E-20    1.0E-4                   0                        -1.061225076566279E-7    1.1351148122631387E-6
-1.5E-4                   5.000000000000002E-5     1.0E-4                   0                        -2.4901234455566894E-6   4.827273622766317E-6
-9.999999999999999E-5     5.000000000000002E-5     1.0E-4                   0                        -2.00884600429667E-6     4.637772185345178E-6
-4.999999999999998E-5     5.000000000000002E-5     1.0E-4                   0                        -1.6283406906904538E-6   4.474407856487643E-6
2.710505431213761E-20     5.000000000000002E-5     1.0E-4                   0                        -1.5013585948800415E-6   4.368656684482171E-6
5.000000000000002E-5      5.000000000000002E-5     1.0E-4                   0                        -1.6948462793861476E-6   4.494850563297191E-6
1.0000000000000002E-4     5.000000000000002E-5     1.0E-4                   0                        -2.0472963954560366E-6   4.835728648387847E-6
1.5000000000000004E-4     5.000000000000002E-5     1.0E-4                   0                        -2.4309541301715093E-6   5.292956005243994E-6
-9.999999999999999E-5     1.0000000000000002E-4    1.0E-4                   0                        -6.577545378346433E-6    8.683666396846911E-6
-4.999999999999998E-5     1.0000000000000002E-4    1.0E-4                   0                        -6.319084501581216E-6    8.56873707777289E-6
2.710505431213761E-20     1.0000000000000002E-4    1.0E-4                   0                        -6.127281891199837E-6    8.523833543198151E-6
5.000000000000002E-5      1.0000000000000002E-4    1.0E-4                   0                        -6.160038982001042E-6    8.767474372873579E-6
1.0000000000000002E-4     1.0000000000000002E-4    1.0E-4                   0                        -6.631166532027749E-6    8.935807348745154E-6
-4.999999999999998E-5     1.5000000000000004E-4    1.0E-4                   0                        -1.3081342387854797E-5   1.2777762366791505E-5
2.710505431213761E-20     1.5000000000000004E-4    1.0E-4                   0                        -1.3303554967431535E-5   1.291494103826722E-5
5.000000000000002E-5      1.5000000000000004E-4    1.0E-4                   0                        -1.312534660888081E-5    1.2721292072869597E-5
-4.999999999999998E-5     -1.5E-4                  1.5000000000000001E-4    0                        -1.568990806593279E-5    -2.1590741980865832E-5
2.710505431213761E-20     -1.5E-4                  1.5000000000000001E-4    0                        -1.56780991265679E-5     -2.152798884254957E-5
5.000000000000002E-5      -1.5E-4                  1.5000000000000001E-4    0                        -1.5759506792953075E-5   -2.1762905594207973E-5
-9.999999999999999E-5     -9.999999999999999E-5    1.5000000000000001E-4    0                        -9.103692206398423E-6    -1.3304088075146399E-5
-4.999999999999998E-5     -9.999999999999999E-5    1.5000000000000001E-4    0                        -8.80750525412038E-6     -1.2992639539848665E-5
2.710505431213761E-20     -9.999999999999999E-5    1.5000000000000001E-4    0                        -8.802486419119833E-6    -1.3009299386579127E-5
5.000000000000002E-5      -9.999999999999999E-5    1.5000000000000001E-4    0                        -9.08205221732959E-6     -1.277524929733993E-5
1.0000000000000002E-4     -9.999999999999999E-5    1.5000000000000001E-4    0                        -9.35531611225412E-6     -1.2913207112152952E-5
-1.5E-4                   -4.999999999999998E-5    1.5000000000000001E-4    0                        -6.1599118217412916E-6   -5.697577433971402E-6
-9.999999999999999E-5     -4.999999999999998E-5    1.5000000000000001E-4    0                        -6.007738581185652E-6    -5.585772019908689E-6
-4.999999999999998E-5     -4.999999999999998E-5    1.5000000000000001E-4    0                        -5.7411678196533E-6      -5.251547410591306E-6
2.710505431213761E-20     -4.999999999999998E-5    1.5000000000000001E-4    0                        -5.633929973839444E-6    -5.117884816586429E-6
5.000000000000002E-5      -4.999999999999998E-5    1.5000000000000001E-4    0                        -5.697170162152792E-6    -5.330693765690971E-6
1.0000000000000002E-4     -4.999999999999998E-5    1.5000000000000001E-4    0                        -5.961755633880628E-6    -5.334742634756648E-6
1.5000000000000004E-4     -4.999999999999998E-5    1.5000000000000001E-4    0                        -6.1965134499836465E-6   -5.285838714326174E-6
-1.5E-4                   2.710505431213761E-20    1.5000000000000001E-4    0                        -6.110508773403787E-6    1.474798704807668E-6
-9.999999999999999E-5     2.710505431213761E-20    1.5000000000000001E-4    0                        -5.908792605968449E-6    1.5431599172929354E-6
-4.999999999999998E-5     2.710505431213761E-20    1.5000000000000001E-4    0                        -5.679620984678094E-6    1.6391303226028664E-6
2.710505431213761E-20     2.710505431213761E-20    1.5000000000000001E-4    0                        -5.554766090573264E-6    1.5961656964602454E-6
5.000000000000002E-5      2.710505431213761E-20    1.5000000000000001E-4    0                        -5.639688555323925E-6    1.5899689671693257E-6
1.0000000000000002E-4     2.710505431213761E-20    1.5000000000000001E-4    0                        -5.936431691036897E-6    1.6229185548819757E-6
1.5000000000000004E-4     2.710505431213761E-20    1.5000000000000001E-4    0                        -6.169611908199161E-6    1.6654283704778417E-6
-1.5E-4                   5.000000000000002E-5     1.5000000000000001E-4    0                        -8.756665605101841E-6    8.259562118681073E-6
-9.999999999999999E-5     5.000000000000002E-5     1.5000000000000001E-4    0                        -8.557556355022993E-6    8.171180551606003E-6
-4.999999999999998E-5     5.000000000000002E-5     1.5000000000000001E-4    0                        -8.374090406774951E-6    8.09415296555774E-6
2.710505431213761E-20     5.000000000000002E-5     1.5000000000000001E-4    0                        -8.265470990380416E-6    8.006450011994553E-6
5.000000000000002E-5      5.000000000000002E-5     1.5000000000000001E-4    0                        -8.39136099204098E-6     7.933319583967627E-6
1.0000000000000002E-4     5.000000000000002E-5     1.5000000000000001E-4    0                        -8.63300385325302E-6     8.242348169517158E-6
1.5000000000000004E-4     5.000000000000002E-5     1.5000000000000001E-4    0                        -8.815102457934385E-6    8.550223395500823E-6
-9.999999999999999E-5     1.0000000000000002E-4    1.5000000000000001E-4    0                        -1.3667426190359554E-5   1.4542687542978214E-5
-4.999999999999998E-5     1.0000000000000002E-4    1.5000000000000001E-4    0                        -1.3515018054407558E-5   1.4419985771325281E-5
2.710505431213761E-20     1.0000000000000002E-4    1.5000000000000001E-4    0                        -1.348598460435332E-5    1.4426974702076133E-5
5.000000000000002E-5      1.0000000000000002E-4    1.5000000000000001E-4    0                        -1.3581364577838455E-5   1.4460639692374545E-5
1.0000000000000002E-4     1.0000000000000002E-4    1.5000000000000001E-4    0                        -1.3689710151294309E-5   1.471858914728982E-5
-4.999999999999998E-5     1.5000000000000004E-4    1.5000000000000001E-4    0                        -2.057694357627268E-5    2.106166887188885E-5
